date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:56:08	23735/23735	---MCZ	200	added ('OK')	text/html	etag:W/%227a4364af8656ef5f55c0fb82a89914d1aad566f1%22	https://cdn.rawgit.com/marler8997/SlimeJavascript/master/SlimeVolleyballLegacy.html	/Users/Mayhaffs/websites/slime/cdn.rawgit.com/marler8997/SlimeJavascript/master/SlimeVolleyballLegacy.html	(from )
06:56:09	123/123	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2026%20Jan%202019%2012:56:08%20GMT	https://cdn.rawgit.com/robots.txt		(from )
06:56:10	506/506	---MCZ	200	added ('OK')	application/javascript	etag:W/%228f0ac089cdd28298bacf52f6675686ef0d458e73%22	https://cdn.rawgit.com/marler8997/SlimeJavascript/master/Input.js	/Users/Mayhaffs/websites/slime/cdn.rawgit.com/marler8997/SlimeJavascript/master/Input.js	(from https://cdn.rawgit.com/marler8997/SlimeJavascript/master/SlimeVolleyballLegacy.html)
06:56:11	17079/17079	---MCZ	200	added ('OK')	application/javascript	etag:W/%221cc7bcc10b1ed98bec11758bd15c278f23672f2c%22	https://cdn.rawgit.com/marler8997/SlimeJavascript/master/SlimeAI.js	/Users/Mayhaffs/websites/slime/cdn.rawgit.com/marler8997/SlimeJavascript/master/SlimeAI.js	(from https://cdn.rawgit.com/marler8997/SlimeJavascript/master/SlimeVolleyballLegacy.html)
06:56:11	110/110	---M--	301	error ('Moved%20Permanently')	text/plain	date:Sat,%2026%20Jan%202019%2012:56:11%20GMT	https://cdn.rawgit.com/marler8997/SlimeJavascript/master/sky2.jpg	/Users/Mayhaffs/websites/slime/cdn.rawgit.com/marler8997/SlimeJavascript/master/sky2.jpg	(from https://cdn.rawgit.com/marler8997/SlimeJavascript/master/SlimeVolleyballLegacy.html)
06:56:12	9291/9291	---M--	200	added ('OK')	image/jpeg	etag:%226e195df1c1b0f16457fbe274656a2e1b6aa07c3a%22	https://raw.githubusercontent.com/marler8997/SlimeJavascript/master/sky2.jpg	/Users/Mayhaffs/websites/slime/raw.githubusercontent.com/marler8997/SlimeJavascript/master/sky2.jpg	(from https://cdn.rawgit.com/marler8997/SlimeJavascript/master/SlimeVolleyballLegacy.html)
06:56:13	110/110	---M--	301	error ('Moved%20Permanently')	text/plain	date:Sat,%2026%20Jan%202019%2012:56:13%20GMT	https://cdn.rawgit.com/marler8997/SlimeJavascript/master/cave.jpg	/Users/Mayhaffs/websites/slime/cdn.rawgit.com/marler8997/SlimeJavascript/master/cave.jpg	(from https://cdn.rawgit.com/marler8997/SlimeJavascript/master/SlimeVolleyballLegacy.html)
06:56:14	17331/17331	---M--	200	added ('OK')	image/jpeg	etag:%229eb50626e1d43d129f75df1b30185942775046d8%22	https://raw.githubusercontent.com/marler8997/SlimeJavascript/master/cave.jpg	/Users/Mayhaffs/websites/slime/raw.githubusercontent.com/marler8997/SlimeJavascript/master/cave.jpg	(from https://cdn.rawgit.com/marler8997/SlimeJavascript/master/SlimeVolleyballLegacy.html)
06:56:16	111/111	---M--	301	error ('Moved%20Permanently')	text/plain	date:Sat,%2026%20Jan%202019%2012:56:16%20GMT	https://cdn.rawgit.com/marler8997/SlimeJavascript/master/vball.png	/Users/Mayhaffs/websites/slime/cdn.rawgit.com/marler8997/SlimeJavascript/master/vball.png	(from https://cdn.rawgit.com/marler8997/SlimeJavascript/master/SlimeVolleyballLegacy.html)
06:56:17	1586/1586	---M--	200	added ('OK')	image/png	etag:%2278c0a392dfeb9320d6526ce2de9cde9a374f6f3d%22	https://raw.githubusercontent.com/marler8997/SlimeJavascript/master/vball.png	/Users/Mayhaffs/websites/slime/raw.githubusercontent.com/marler8997/SlimeJavascript/master/vball.png	(from https://cdn.rawgit.com/marler8997/SlimeJavascript/master/SlimeVolleyballLegacy.html)
06:56:18	119/119	---M--	301	error ('Moved%20Permanently')	text/plain	date:Sat,%2026%20Jan%202019%2012:56:18%20GMT	https://cdn.rawgit.com/marler8997/SlimeJavascript/master/slime175green.png	/Users/Mayhaffs/websites/slime/cdn.rawgit.com/marler8997/SlimeJavascript/master/slime175green.png	(from https://cdn.rawgit.com/marler8997/SlimeJavascript/master/SlimeVolleyballLegacy.html)
06:56:19	2597/2597	---M--	200	added ('OK')	image/png	etag:%224d2e6a51c5d4a478d2494c4c45680b6029bd45b5%22	https://raw.githubusercontent.com/marler8997/SlimeJavascript/master/slime175green.png	/Users/Mayhaffs/websites/slime/raw.githubusercontent.com/marler8997/SlimeJavascript/master/slime175green.png	(from https://cdn.rawgit.com/marler8997/SlimeJavascript/master/SlimeVolleyballLegacy.html)
06:56:20	117/117	---M--	301	error ('Moved%20Permanently')	text/plain	date:Sat,%2026%20Jan%202019%2012:56:20%20GMT	https://cdn.rawgit.com/marler8997/SlimeJavascript/master/slime175red.png	/Users/Mayhaffs/websites/slime/cdn.rawgit.com/marler8997/SlimeJavascript/master/slime175red.png	(from https://cdn.rawgit.com/marler8997/SlimeJavascript/master/SlimeVolleyballLegacy.html)
06:56:21	2623/2623	---M--	200	added ('OK')	image/png	etag:%2201efe95b2f34fd506fd517b290abdd795c15db4f%22	https://raw.githubusercontent.com/marler8997/SlimeJavascript/master/slime175red.png	/Users/Mayhaffs/websites/slime/raw.githubusercontent.com/marler8997/SlimeJavascript/master/slime175red.png	(from https://cdn.rawgit.com/marler8997/SlimeJavascript/master/SlimeVolleyballLegacy.html)
06:56:23	112/112	---M--	301	error ('Moved%20Permanently')	text/plain	date:Sat,%2026%20Jan%202019%2012:56:22%20GMT	https://cdn.rawgit.com/marler8997/SlimeJavascript/master/sunset.jpg	/Users/Mayhaffs/websites/slime/cdn.rawgit.com/marler8997/SlimeJavascript/master/sunset.jpg	(from https://cdn.rawgit.com/marler8997/SlimeJavascript/master/SlimeVolleyballLegacy.html)
06:56:24	26259/26259	---M--	200	added ('OK')	image/jpeg	etag:%22d8385a5bb3ff77e455beb8b3b543d600367338b4%22	https://raw.githubusercontent.com/marler8997/SlimeJavascript/master/sunset.jpg	/Users/Mayhaffs/websites/slime/cdn.rawgit.com/marler8997/SlimeJavascript/master/sunset.jpg	(from https://cdn.rawgit.com/marler8997/SlimeJavascript/master/SlimeVolleyballLegacy.html)
